nid,label
118264,24
411,27
118364,24
436,16
443,28
445,24
118403,28
118405,2
118413,18
476,24
486,13
489,24
118449,10
118468,6
118482,26
118484,28
118485,28
118486,23
118487,2
118488,8
118489,10
118490,28
118491,1
118492,28
118493,28
118494,32
118495,28
118496,28
118497,9
118498,28
118499,7
118500,28
118501,2
118502,28
118503,28
118504,34
545,34
118505,19
118506,22
118507,16
118508,26
118509,28
118510,22
118511,5
118512,16
118513,19
118514,28
118515,16
118516,28
118517,9
558,16
118518,24
118519,31
118521,28
118523,28
118524,28
118525,28
118526,20
118527,28
118528,20
118529,24
118530,19
118531,2
118532,32
118533,4
118534,22
118535,31
118536,26
118537,23
118538,28
118539,5
118540,28
118542,10
118543,28
118544,24
118545,26
118546,34
118547,28
118548,26
118549,4
118550,5
118551,8
118552,24
118553,26
118554,28
118555,28
118556,28
118557,16
118558,28
118559,23
118560,28
118561,16
118562,28
118563,29
604,16
118564,26
118565,26
118566,10
118567,28
118568,25
118569,28
118570,28
118571,31
118572,28
118573,23
118574,26
118575,13
118576,19
118577,18
618,33
118578,16
118579,28
620,24
118580,5
118582,4
623,24
118583,28
625,27
626,24
627,16
628,24
629,16
118584,28
631,33
118585,16
632,16
633,26
634,28
635,28
636,28
637,11
638,0
639,10
640,4
641,8
642,20
643,5
644,16
645,8
646,28
647,31
648,33
649,24
650,24
651,5
652,24
653,24
654,19
655,16
656,24
657,14
658,9
659,10
660,24
661,13
662,10
663,10
664,8
665,27
666,9
667,28
668,16
669,34
670,16
671,9
672,16
673,19
118631,24
674,28
675,3
677,16
678,10
679,24
680,19
118638,28
681,28
682,2
683,24
684,23
685,2
686,3
687,24
118646,10
688,8
689,28
690,28
691,31
692,8
693,9
694,28
695,10
696,26
697,28
118656,22
698,4
699,24
700,27
701,26
702,24
703,24
704,24
705,2
706,10
707,2
708,16
709,28
710,5
711,2
712,2
713,16
714,33
715,16
716,10
717,28
718,28
719,9
720,2
721,9
722,32
118689,27
729,24
732,22
118712,24
747,16
748,10
750,28
774,24
783,19
785,13
790,10
792,8
795,10
801,2
810,20
811,31
118779,16
819,2
118803,4
849,16
118820,18
118828,26
873,24
885,16
886,24
891,2
900,16
118859,13
902,27
910,16
118868,19
915,16
916,5
118878,31
922,24
118880,16
118881,24
118882,16
118884,19
118885,24
118886,16
118887,19
118888,28
118889,28
118890,16
118891,16
118892,16
936,22
118893,24
118894,24
118895,16
118896,16
118897,16
118898,8
118899,16
118900,24
118901,24
118902,24
118903,4
948,24
949,16
118904,28
118905,16
118906,24
118907,24
118908,26
118909,16
118910,16
118911,24
118912,24
118913,16
118914,10
118915,24
118916,8
118917,16
118918,29
118920,24
118921,16
118922,22
118923,26
118924,24
118925,26
118926,16
118927,28
118928,16
971,16
118929,6
118930,24
118931,24
118932,16
118933,19
118934,5
118935,16
118936,24
118937,19
118938,16
118939,26
118940,16
118941,28
118942,24
118943,28
118944,16
118945,24
987,7
118946,27
989,28
990,28
991,4
118947,24
992,13
993,28
118948,22
994,28
995,5
118949,16
996,4
118956,27
997,24
998,4
999,16
1000,24
1001,28
1002,25
1003,24
118957,19
118961,24
1006,16
1007,16
1008,32
118962,20
118963,16
118964,16
1011,28
118965,28
1012,5
1013,31
118968,33
1014,8
1015,27
1016,16
1017,24
1018,24
1019,10
1020,24
1021,16
1022,16
1023,16
118980,26
1024,32
1025,24
1026,16
1027,24
1028,20
1029,3
1030,26
1031,24
1032,10
1033,28
1034,24
1035,16
1036,6
1037,2
1038,28
1039,16
1040,24
1041,10
1042,25
1043,26
1044,4
1045,28
119000,22
119001,2
1046,28
1047,28
1048,24
1049,26
1050,28
119011,2
1051,26
1052,9
1053,28
1054,28
1055,20
119012,31
1056,31
1057,24
1058,4
1059,33
1060,26
1061,8
1062,8
1063,20
1064,28
119029,28
1065,24
1066,4
1067,19
119024,24
1068,28
119026,16
1069,19
1070,4
119030,2
1072,28
1073,24
1074,10
1075,5
1076,28
1077,9
1078,24
1079,4
1080,28
1081,10
1082,18
1083,31
1084,4
1085,32
119053,4
1086,28
1087,24
1088,34
119048,5
1089,5
1090,4
119051,13
1091,11
1092,10
1093,19
1094,22
1095,10
1096,24
1097,28
1098,32
1099,8
119061,24
119064,24
1100,16
119063,24
119065,2
1101,16
1102,28
1103,9
1104,16
1105,5
1106,28
1107,8
1108,24
1109,28
1110,16
119074,22
1111,28
1112,5
1113,28
1114,28
1115,5
119080,19
1116,19
1117,16
1118,8
1119,28
1120,10
1121,32
1122,22
1123,8
1124,28
1125,19
1126,28
1127,33
1128,8
1129,23
1130,8
1131,7
1132,28
1133,28
119097,16
119098,24
1134,5
1135,6
1136,22
1137,28
1138,16
1139,28
1140,15
1141,28
1142,28
1143,28
1144,26
1145,16
1146,28
1147,13
1148,2
1149,26
1150,33
1151,28
1152,4
1153,14
1154,24
1155,5
1156,2
1157,26
1158,2
1159,9
1160,28
1161,28
1162,18
1163,28
1164,34
1165,34
1166,10
1167,9
1168,16
1169,8
1170,10
1171,34
1172,4
1173,28
1174,28
1175,10
1176,4
1177,10
1178,28
1179,28
1180,28
1181,10
1182,32
1183,10
1184,4
1185,16
1186,16
1187,28
1188,10
1189,5
1190,24
1191,16
1192,28
1193,16
1195,28
1196,9
1197,28
1198,10
119392,28
119479,20
1547,24
119517,2
119600,28
1665,33
119640,33
119648,26
119650,10
1700,16
119660,23
119666,1
1735,20
119695,10
119701,2
1742,24
119706,28
119710,8
1750,20
119711,3
119712,19
119713,24
119714,24
119715,34
119716,16
119717,26
1757,2
119718,24
1759,16
119719,27
119720,16
119721,16
1763,26
119722,24
119723,28
119724,24
119725,16
119726,16
119727,24
119728,16
119729,16
119730,16
119731,28
119732,19
1775,5
119733,28
1777,26
119734,16
119735,8
119736,25
119737,18
119738,24
119739,10
1784,28
119740,3
119741,9
119742,24
119743,24
119744,31
119745,33
119746,16
119747,16
119748,16
119750,9
119751,24
119752,6
1796,28
119754,16
1798,28
119755,19
119756,10
119758,20
119753,32
1802,17
119760,27
119757,5
119759,28
119761,10
119762,16
1808,16
119763,28
1810,10
119764,28
1812,32
1813,34
1814,31
1815,5
1816,28
1817,28
1818,19
1819,4
1820,16
1821,28
1822,24
1823,34
1824,24
1825,27
1826,28
1827,28
1828,28
1829,10
1830,32
1831,22
119778,16
1832,16
1833,31
1834,24
1835,8
1836,4
1837,22
1838,16
1839,28
1840,24
1841,16
1842,6
1843,16
1844,8
1845,16
1846,28
1847,24
1848,10
1849,16
1850,16
1851,5
119798,28
1852,16
1853,5
1854,10
119802,24
1856,24
1857,28
1858,13
1859,32
1860,16
1861,16
119805,24
119806,16
1862,16
1863,24
119808,24
1864,28
119810,16
1865,10
1866,33
1867,6
1868,16
1869,16
119815,16
1870,24
1871,24
119825,13
1872,16
1873,16
1874,4
1875,24
1876,4
1877,5
1878,24
1879,24
1880,3
1881,13
1882,16
1883,6
119834,6
1885,24
1886,10
1887,16
1888,10
1889,23
1890,16
1891,16
1892,4
1893,16
1894,16
1895,16
1896,16
1897,27
1898,23
119845,28
1899,31
1901,27
1902,27
1903,24
1904,10
1905,8
1906,13
1907,4
1908,16
1909,24
1910,16
1911,27
1912,31
1913,27
1914,16
1915,24
1916,28
1917,4
119869,25
119874,16
1922,24
1933,25
119895,28
1959,2
119916,24
119921,28
1983,9
1986,24
119941,19
2001,16
119951,28
2007,16
119962,24
2014,16
119969,16
119973,28
2027,24
2038,27
2039,28
119993,24
2044,4
119996,5
119997,10
119999,10
2051,28
120004,24
2054,4
2056,23
120010,26
120013,24
2068,10
120024,5
2083,28
2084,24
2088,32
120043,10
120050,28
2106,10
2108,28
120056,24
120057,10
120058,8
120059,16
120060,8
120061,10
120062,27
120063,16
120065,34
120067,24
120068,24
120070,2
120071,25
120072,2
120073,16
120074,16
120075,9
120078,24
120079,4
2131,5
120080,28
120081,9
120082,5
120083,28
120084,4
120086,24
120087,24
120088,16
120089,9
120091,23
120092,28
120093,8
120094,4
120095,9
120096,19
120097,15
2148,8
2149,24
2150,28
120098,31
120099,16
120100,15
120101,28
120102,24
120103,2
120104,25
120105,4
120107,26
2160,2
2161,28
120108,5
2163,24
120109,5
2165,28
2166,10
120111,2
2168,28
2169,18
2170,28
2171,28
2172,10
2173,2
2174,2
2175,28
2176,22
2177,28
2178,2
2179,2
2180,33
120120,28
120121,7
120126,19
120122,10
2184,26
2185,28
2186,2
120127,28
120128,9
2189,2
120129,28
2190,28
2191,34
2192,23
2193,27
2194,2
2195,2
2196,24
2197,28
2198,28
2199,28
2200,1
2201,7
2202,26
2203,8
2204,28
2205,28
120142,23
2206,10
2207,26
2208,28
2209,19
2210,24
2211,9
2212,19
2213,24
2214,14
2215,28
2216,10
2217,8
2218,24
2219,8
120163,27
2220,22
2221,3
120159,28
2222,26
2223,28
2224,28
2225,2
2226,23
120164,5
2228,16
2229,16
2230,2
2231,10
2232,31
2233,2
120170,2
2234,2
2235,31
2236,9
2237,24
2238,31
2239,31
2240,28
2241,28
2242,32
2243,10
2244,28
2245,23
120179,11
2247,16
2248,27
2249,10
2250,6
2251,16
120185,26
2252,8
2253,24
2254,24
2255,28
2256,26
2257,27
2258,28
2259,16
2260,28
2261,16
120196,24
2262,4
2263,28
2264,4
2265,16
2266,28
2267,24
2268,8
120204,10
2269,28
2270,10
2271,24
2272,19
2273,33
2274,16
2275,24
2276,24
120212,4
2277,4
2278,27
2279,6
2280,16
2281,20
2282,19
2283,16
2284,24
2285,16
2286,8
2287,24
120220,6
2288,26
2289,5
2290,8
2291,16
2292,2
2293,4
2294,16
2295,16
2296,5
2297,23
2298,32
2299,32
2300,5
2301,28
2302,28
2303,4
2304,24
2305,19
2306,24
2307,24
2308,24
2309,4
2310,24
2311,19
2312,16
2313,0
2314,28
2315,30
2316,28
2317,2
2318,16
2319,2
2320,19
2321,2
2322,28
120254,18
2323,28
2324,24
2325,19
120257,28
2326,8
2327,4
2328,19
2329,24
2330,28
2331,24
2332,10
120265,16
120266,22
2333,25
120267,24
120268,16
2334,10
2335,16
2336,28
120271,16
120272,27
2337,16
2338,2
2339,16
2340,4
2341,24
2342,24
2343,16
2344,13
2345,28
2346,24
2347,5
2348,28
2349,16
2351,24
2352,24
2353,16
2354,25
2355,26
2356,28
2357,26
2358,31
2359,28
2360,28
2361,3
2362,16
2363,27
2364,24
2365,28
2366,27
2367,10
2368,16
2369,27
2370,24
2371,10
2372,28
2373,16
2374,28
2375,19
2376,16
2377,32
2378,28
2379,23
2380,24
2381,16
2382,27
2383,16
2384,27
2385,27
2386,9
2387,16
2388,28
120619,28
2693,10
120689,4
120712,24
2798,28
120776,24
120783,28
2830,26
2856,16
120834,16
120842,16
2882,27
120858,5
2888,24
120860,16
120863,16
120869,28
120877,22
120881,28
120894,13
120896,16
120898,24
2921,16
120902,28
2929,24
2934,16
120915,16
120920,28
2942,10
120923,24
120926,24
120927,2
120928,16
120930,16
120931,24
120932,24
120933,16
120934,24
120935,5
120936,34
120937,9
120938,16
120939,16
120940,28
120941,16
120942,16
120943,22
2967,24
120944,8
2968,13
2969,28
